,true drifts,detection rate,false negative rate,false positive rate,delay rate,detections,execution time,ram hours,param,observation,method
70,"[4756, 12282, 16031]",1.0,0.0,0.8,1134.0,"[267, 1892, 2587, 4371, 4756, 5698, 6684, 7826, 7969, 12282, 14600, 16031, 17277, 18956, 19434]",5.219695091247559,0.024748665503879642,0.001,confidence levels,kswin
71,"[4756, 12282, 16031]",1.0,0.0,0.8,1134.0,"[267, 1892, 2587, 4371, 4756, 5698, 6684, 7826, 7969, 12282, 14600, 16031, 17277, 18956, 19434]",5.237950563430786,0.024813498010892093,0.002,confidence levels,kswin
72,"[4763, 11121, 17275]",1.0,0.0,0.8571428571428571,1164.0,"[267, 1558, 4399, 4763, 5707, 6682, 6967, 7512, 7696, 7828, 7963, 8989, 9194, 11121, 11429, 12268, 13657, 14598, 17275, 18958, 20366]",4.99703574180603,0.023671423951361452,0.003,confidence levels,kswin
73,"[4763, 11121, 17275]",1.0,0.0,0.8571428571428571,1164.0,"[267, 1558, 4399, 4763, 5707, 6682, 6967, 7512, 7696, 7828, 7963, 8989, 9194, 11121, 11429, 12268, 13657, 14598, 17275, 18958, 20366]",4.993890047073364,0.023598779293936587,0.004,confidence levels,kswin
74,"[4763, 11121, 17275]",1.0,0.0,0.8571428571428571,1164.0,"[267, 1558, 4399, 4763, 5707, 6682, 6967, 7512, 7696, 7828, 7963, 8989, 9194, 11121, 11429, 12268, 13657, 14598, 17275, 18958, 20366]",5.044002532958984,0.023833839614740605,0.005,confidence levels,kswin
75,"[4763, 11121, 17275]",1.0,0.0,0.8571428571428571,1164.0,"[267, 1558, 4399, 4763, 5707, 6682, 6967, 7512, 7696, 7828, 7963, 8989, 9194, 11121, 11429, 12268, 13657, 14598, 17275, 18958, 20366]",5.118792772293091,0.02417487579935975,0.006,confidence levels,kswin
76,"[5692, 11015, 15309]",1.0,0.0,0.9318181818181818,783.0,"[265, 721, 1337, 1884, 2355, 2587, 3609, 4371, 4686, 5692, 5806, 5945, 6358, 6466, 6683, 6969, 7820, 7964, 8525, 8638, 8989, 9194, 9601, 11015, 11219, 11432, 11858, 12161, 12269, 14004, 14265, 14596, 15309, 15996, 16156, 16745, 17265, 17693, 18526, 18826, 18955, 19487, 20368, 20819]",4.471773862838745,0.021122552431607648,0.007,confidence levels,kswin
77,"[5692, 11015, 15309]",1.0,0.0,0.9318181818181818,783.0,"[265, 721, 1337, 1884, 2355, 2587, 3609, 4371, 4686, 5692, 5806, 5945, 6358, 6466, 6683, 6969, 7820, 7964, 8525, 8638, 8989, 9194, 9601, 11015, 11219, 11432, 11858, 12161, 12269, 14004, 14265, 14596, 15309, 15996, 16156, 16745, 17265, 17693, 18526, 18826, 18955, 19487, 20368, 20819]",4.40894079208374,0.0208252260205442,0.008,confidence levels,kswin
78,"[5692, 11015, 15309]",1.0,0.0,0.9318181818181818,783.0,"[265, 721, 1337, 1884, 2355, 2587, 3609, 4371, 4686, 5692, 5806, 5945, 6358, 6466, 6683, 6969, 7820, 7964, 8525, 8638, 8989, 9194, 9601, 11015, 11219, 11432, 11858, 12161, 12269, 14004, 14265, 14596, 15309, 15996, 16156, 16745, 17265, 17693, 18526, 18826, 18955, 19487, 20368, 20819]",4.488810062408447,0.021220289557068606,0.009000000000000001,confidence levels,kswin
79,"[5692, 11015, 15309]",1.0,0.0,0.9318181818181818,783.0,"[265, 721, 1337, 1884, 2355, 2587, 3609, 4371, 4686, 5692, 5806, 5945, 6358, 6466, 6683, 6969, 7820, 7964, 8525, 8638, 8989, 9194, 9601, 11015, 11219, 11432, 11858, 12161, 12269, 14004, 14265, 14596, 15309, 15996, 16156, 16745, 17265, 17693, 18526, 18826, 18955, 19487, 20368, 20819]",4.585923671722412,0.02162982566855893,0.010000000000000002,confidence levels,kswin
